IUPAC,ion1,ion2,RI,temperature
1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][=Branch1][C][C][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1.43098,298.15
1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][=Branch1][C][C][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1.42958,303.15
1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][=Branch1][C][C][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1.42794,308.15
1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][=Branch1][C][C][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1.42654,313.15
1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][=Branch1][C][C][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1.42494,318.15
1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-1][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],[C][Branch1][=Branch1][C][C][C][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1.42332,323.15
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,[F][C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O-1][Branch1][C][F][F],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1.43568,298.15
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,[F][C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O-1][Branch1][C][F][F],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1.43438,303.15
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,[F][C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O-1][Branch1][C][F][F],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1.43288,308.15
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,[F][C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O-1][Branch1][C][F][F],[C][Branch1][C][C][N+1][=C][N][Branch1][Branch1][C][=C][Ring1][Branch1][C],1.43144,313.15
